Date,CRUDE_DUBAI,NGAS_US,COCOA,COFFEE_ARABIC,TEA_AVG,COCONUT_OIL,PALM_OIL,BEEF,SUGAR_EU,ALUMINUM,IRON_ORE,COPPER,LEAD,Tin,NICKEL,Zinc,GOLD,PLATINUM,SILVER,RICE_05,ORANGE,TOBAC_US
1960M01,1.63,0.14,0.63,0.94,1.03,390,233,0.71,0.12,511.47,11.42,715.4,206.1,2180.4,1631,260.8,35.27,83.5,0.91,104.45,0.12,1736.87
1960M02,1.63,0.14,0.61,0.95,1.03,379,229,0.71,0.12,511.47,11.42,728.19,203.7,2180.4,1631,244.9,35.27,83.5,0.91,103.54,0.11,1736.87
1960M03,1.63,0.14,0.58,0.93,1.03,361,225,0.77,0.12,511.47,11.42,684.94,210.3,2173.8,1631,248.7,35.27,83.5,0.91,103.79,0.13,1736.87
1960M04,1.63,0.14,0.6,0.93,1.03,338,225,0.84,0.12,511.47,11.42,723.11,213.6,2178.2,1631,254.6,35.27,83.5,0.91,100.97,0.14,1736.87
1960M05,1.63,0.14,0.6,0.92,1.03,321,225,0.76,0.12,511.47,11.42,684.75,213.4,2162.7,1631,253.8,35.27,83.5,0.91,102.15,0.14,1736.87
1960M06,1.63,0.14,0.59,0.91,1.03,287,219,0.71,0.12,511.47,11.42,691.59,202.4,2184.8,1631,249.8,35.27,83.5,0.91,103.13,0.14,1736.87
1960M07,1.63,0.14,0.6,0.92,1.03,298,221,0.75,0.12,511.47,11.42,702.39,196.2,2248.7,1631,248.7,35.27,83.5,0.91,102.05,0.13,1736.87
1960M08,1.63,0.14,0.59,0.93,1.03,292,225,0.78,0.12,511.47,11.42,675.94,195.3,2204.6,1631,241,35.27,83.5,0.91,109.71,0.13,1736.87
1960M09,1.63,0.14,0.58,0.92,1.03,276,224,0.81,0.12,511.47,11.42,647.06,192.7,2226.7,1631,240.1,35.27,83.5,0.91,116.1,0.13,1736.87
1960M10,1.63,0.14,0.59,0.92,1.03,280,222,0.71,0.12,511.47,11.42,612.66,185.2,2226.7,1631,242.3,35.27,83.5,0.91,115.21,0.13,1736.87
1960M11,1.63,0.14,0.57,0.91,1.03,274,222,0.63,0.12,511.47,11.42,642.13,188.1,2204.6,1631,241.4,35.27,83.5,0.91,114.43,0.15,1736.87
1960M12,1.63,0.14,0.52,0.9,1.03,252,223,0.67,0.12,511.47,11.42,636.91,179.2,2189.2,1631,228.2,35.27,83.5,0.91,112.66,0.12,1736.87
1961M01,1.57,0.15,0.49,0.91,0.95,269,223,0.64,0.12,511.47,11.02,606.71,175.9,2162.7,1711,218,35.25,83.5,0.91,113.47,0.11,1563.19
1961M02,1.57,0.15,0.49,0.92,0.95,281,228,0.64,0.12,511.47,11.02,616.63,179.9,2187,1711,228.2,35.25,83.5,0.91,109.52,0.11,1563.19
1961M03,1.57,0.15,0.46,0.91,0.95,276,231,0.78,0.12,511.47,11.02,621.26,181.7,2248.7,1711,233.2,35.25,83.5,0.91,117.65,0.12,1563.19
1961M04,1.57,0.15,0.44,0.9,0.95,269,233,0.71,0.12,511.47,11.02,631.84,185,2308.2,1711,231.3,35.25,83.5,0.91,115.17,0.13,1563.19
1961M05,1.57,0.15,0.48,0.89,0.95,258,234,0.64,0.12,511.47,11.02,668.44,183.6,2376.6,1711,227.1,35.25,83.5,0.91,119.42,0.13,1563.19
1961M06,1.57,0.15,0.49,0.89,0.95,243,233,0.68,0.12,511.47,11.02,652.12,178.4,2467,1711,217.8,35.25,83.5,0.91,121.4,0.19,1563.19
1961M07,1.57,0.15,0.48,0.89,0.95,245,229,0.67,0.12,511.47,11.02,633.39,178.8,2519.9,1711,214.7,35.25,83.5,0.91,123.41,0.13,1563.19
1961M08,1.57,0.15,0.48,0.89,0.95,248,226,0.69,0.12,511.47,11.02,636.47,178.4,2605.9,1711,210.8,35.25,83.5,0.91,119.63,0.13,1563.19
1961M09,1.57,0.15,0.47,0.89,0.95,243,226,0.71,0.12,511.47,11.02,632.72,176.4,2630.1,1711,203.7,35.25,83.5,0.91,118.99,0.13,1563.19
1961M10,1.57,0.15,0.46,0.89,0.95,236,226,0.67,0.12,511.47,11.02,630.3,172.5,2605.9,1711,198.2,35.25,83.5,0.91,120.32,0.13,1563.19
1961M11,1.57,0.15,0.48,0.88,0.95,236,226,0.64,0.12,511.47,11.02,632.28,166.4,2667.6,1711,191.8,35.25,83.5,0.92,128.32,0.16,1563.19
1961M12,1.57,0.15,0.54,0.88,0.95,237,226,0.72,0.12,511.47,11.02,634.85,166.7,2619.1,1711,196.9,35.25,83.5,1.03,120.1,0.11,1563.19
1962M01,1.52,0.16,0.46,0.88,0.97,246.9,235.89,0.76,0.13,511.47,11.01,635.37,162.9,2610.3,1761,193.6,35.23,83.5,1.04,117.79,0.1,1404.9
1962M02,1.52,0.16,0.49,0.88,0.97,248.6,237,0.76,0.13,504.86,11.01,647.94,161.9,2623.5,1761,189.6,35.23,83.5,1.02,119.18,0.1,1404.9
1962M03,1.52,0.16,0.44,0.86,0.97,250.8,223.22,0.71,0.13,496.04,11.01,647.5,167.1,2652.2,1761,191.4,35.23,83.5,1.02,123.75,0.11,1404.9
1962M04,1.52,0.16,0.46,0.85,0.97,260.7,220.46,0.65,0.13,496.04,11.01,645.95,166.7,2614.7,1761,191.4,35.23,83.5,1.02,130.84,0.1,1404.9
1962M05,1.52,0.16,0.47,0.83,0.97,253.3,219.08,0.73,0.13,496.04,11.01,645.73,164.9,2533.1,1761,188.5,35.23,83.5,1.02,149.14,0.1,1404.9
1962M06,1.52,0.16,0.47,0.8,0.97,239.5,216.33,0.79,0.13,496.04,11.01,645.51,159,2414.1,1761,184.7,35.23,83.5,1.02,144.11,0.1,1404.9
1962M07,1.52,0.16,0.46,0.81,0.97,240.3,212.75,0.76,0.13,496.04,11.01,645.51,148.4,2376.6,1761,182.1,35.23,83.5,1.04,144.22,0.11,1404.9
